Date,Price,Open,High,Low,Change %
8/7/2020,1.1788,1.1877,1.1884,1.1755,-0.75%
8/6/2020,1.1876,1.1863,1.1917,1.1818,0.11%
8/5/2020,1.1863,1.1802,1.1906,1.1793,0.52%
8/4/2020,1.1802,1.1765,1.1807,1.172,0.33%
8/3/2020,1.1763,1.1783,1.1797,1.1696,-0.11%
7/31/2020,1.1776,1.1846,1.191,1.176,-0.60%
7/30/2020,1.1847,1.1788,1.1849,1.1731,0.47%
7/29/2020,1.1792,1.1718,1.1807,1.1714,0.65%
7/28/2020,1.1716,1.1753,1.1774,1.1698,-0.30%
7/27/2020,1.1752,1.1646,1.1782,1.1637,0.82%
7/24/2020,1.1656,1.1597,1.1659,1.158,0.52%
7/23/2020,1.1596,1.1575,1.1628,1.1539,0.22%
7/22/2020,1.157,1.1528,1.1602,1.1507,0.37%
7/21/2020,1.1528,1.1447,1.154,1.1422,0.71%
7/20/2020,1.1446,1.141,1.1468,1.1401,0.16%
7/17/2020,1.1428,1.1384,1.1444,1.1377,0.39%
7/16/2020,1.1384,1.1411,1.1443,1.137,-0.24%
7/15/2020,1.1411,1.14,1.1452,1.1391,0.12%
7/14/2020,1.1398,1.1343,1.1409,1.1324,0.49%
7/13/2020,1.1342,1.13,1.1375,1.1297,0.37%
7/10/2020,1.13,1.1285,1.1326,1.1255,0.15%
7/9/2020,1.1283,1.1329,1.1372,1.1279,-0.41%
7/8/2020,1.133,1.1273,1.1352,1.1262,0.51%
7/7/2020,1.1272,1.1308,1.1334,1.1258,-0.33%
7/6/2020,1.1309,1.1242,1.1346,1.124,0.53%
7/3/2020,1.1249,1.1239,1.1254,1.1219,0.08%
7/2/2020,1.124,1.1252,1.1303,1.1222,-0.11%
7/1/2020,1.1252,1.1233,1.1276,1.1185,0.17%
6/30/2020,1.1233,1.1242,1.1263,1.1191,-0.08%
6/29/2020,1.1242,1.1227,1.1289,1.1216,0.21%
6/26/2020,1.1219,1.1218,1.1241,1.1194,0.01%
6/25/2020,1.1218,1.1251,1.1261,1.119,-0.30%
6/24/2020,1.1252,1.1308,1.1327,1.1248,-0.50%
6/23/2020,1.1308,1.1259,1.135,1.1233,0.43%
6/22/2020,1.126,1.1185,1.1271,1.1168,0.74%
6/19/2020,1.1177,1.1205,1.1255,1.1168,-0.24%
6/18/2020,1.1204,1.1244,1.1264,1.1185,-0.36%
6/17/2020,1.1244,1.1264,1.1295,1.1207,-0.17%
6/16/2020,1.1264,1.1325,1.1353,1.1228,-0.53%
6/15/2020,1.1324,1.1245,1.1334,1.1226,0.60%
6/12/2020,1.1256,1.1299,1.1341,1.1212,-0.38%
6/11/2020,1.1299,1.1373,1.1404,1.1287,-0.63%
6/10/2020,1.1371,1.134,1.1423,1.1322,0.26%
6/9/2020,1.1342,1.1297,1.1365,1.1241,0.43%
6/8/2020,1.1294,1.1289,1.1321,1.1267,0.07%
6/5/2020,1.1286,1.1337,1.1385,1.1278,-0.46%
6/4/2020,1.1338,1.1234,1.1363,1.1194,0.93%
6/3/2020,1.1234,1.1172,1.1257,1.1166,0.56%
6/2/2020,1.1171,1.1137,1.1197,1.1114,0.32%
6/1/2020,1.1135,1.1097,1.1155,1.1095,0.32%
5/29/2020,1.1099,1.1078,1.1146,1.107,0.19%
5/28/2020,1.1078,1.1005,1.1094,1.0991,0.66%
5/27/2020,1.1005,1.0983,1.1032,1.0934,0.21%
5/26/2020,1.0982,1.0899,1.0997,1.0891,0.75%
5/25/2020,1.09,1.0903,1.0915,1.087,-0.02%
5/22/2020,1.0902,1.0949,1.0961,1.0885,-0.44%
5/21/2020,1.095,1.0979,1.101,1.0936,-0.26%
5/20/2020,1.0979,1.0928,1.1,1.0918,0.51%
5/19/2020,1.0923,1.0913,1.0977,1.0901,0.09%
5/18/2020,1.0913,1.0816,1.0927,1.0799,0.90%
5/15/2020,1.0816,1.0805,1.0851,1.0789,0.10%
5/14/2020,1.0805,1.0819,1.0826,1.0775,-0.12%
5/13/2020,1.0818,1.0848,1.0897,1.0811,-0.28%
5/12/2020,1.0848,1.0807,1.0885,1.0784,0.37%
5/11/2020,1.0808,1.0838,1.0851,1.08,-0.30%
5/8/2020,1.0841,1.0833,1.0876,1.0814,0.06%
5/7/2020,1.0834,1.0795,1.0835,1.0766,0.36%
5/6/2020,1.0795,1.0836,1.0848,1.0782,-0.42%
5/5/2020,1.084,1.0907,1.0927,1.0826,-0.62%
5/4/2020,1.0908,1.098,1.098,1.0895,-0.70%
5/1/2020,1.0985,1.0956,1.1019,1.0934,0.26%
4/30/2020,1.0957,1.0872,1.0973,1.0833,0.75%
4/29/2020,1.0875,1.0819,1.0886,1.0818,0.51%
4/28/2020,1.082,1.0829,1.089,1.081,-0.09%
4/27/2020,1.083,1.0809,1.0862,1.0808,0.08%
4/24/2020,1.0821,1.0778,1.0831,1.0726,0.40%
4/23/2020,1.0778,1.0824,1.0848,1.0755,-0.42%
4/22/2020,1.0823,1.0857,1.0886,1.0802,-0.32%
4/21/2020,1.0858,1.0862,1.0882,1.0816,-0.05%
4/20/2020,1.0863,1.0875,1.0898,1.0841,-0.14%
4/17/2020,1.0878,1.0835,1.0893,1.0812,0.38%
4/16/2020,1.0837,1.0911,1.0913,1.0817,-0.66%
4/15/2020,1.0909,1.098,1.0991,1.0856,-0.66%
4/14/2020,1.0981,1.0914,1.0988,1.0904,0.60%
4/13/2020,1.0915,1.0941,1.0969,1.0892,-0.19%
4/10/2020,1.0936,1.093,1.0953,1.0919,0.06%
4/9/2020,1.0929,1.0857,1.0953,1.0841,0.65%
4/8/2020,1.0858,1.0891,1.0904,1.0829,-0.30%
4/7/2020,1.0891,1.0793,1.0926,1.0783,0.91%
4/6/2020,1.0793,1.0813,1.0835,1.0768,-0.15%
4/3/2020,1.0809,1.0858,1.0865,1.0773,-0.45%
4/2/2020,1.0858,1.0964,1.097,1.082,-0.97%
4/1/2020,1.0964,1.1031,1.104,1.0903,-0.61%
3/31/2020,1.1031,1.1049,1.1056,1.0926,-0.15%
3/30/2020,1.1048,1.1136,1.1145,1.101,-0.84%
3/27/2020,1.1142,1.103,1.1148,1.0953,1.02%
3/26/2020,1.103,1.0881,1.1059,1.0869,1.36%
3/25/2020,1.0882,1.0789,1.0895,1.0761,0.86%
3/24/2020,1.0789,1.0726,1.0889,1.0722,0.62%
3/23/2020,1.0723,1.0696,1.0828,1.0637,0.26%
3/20/2020,1.0695,1.0691,1.0832,1.0637,0.03%
3/19/2020,1.0691,1.0915,1.0982,1.0654,-2.05%
3/18/2020,1.0915,1.0997,1.1046,1.0802,-0.75%
3/17/2020,1.0997,1.1183,1.119,1.0955,-1.66%
3/16/2020,1.1183,1.1085,1.1237,1.1046,0.69%
3/13/2020,1.1106,1.1185,1.1222,1.1054,-0.70%
3/12/2020,1.1185,1.1269,1.1334,1.1055,-0.75%
3/11/2020,1.1269,1.128,1.1367,1.1257,-0.10%
3/10/2020,1.128,1.1446,1.1459,1.1274,-1.48%
3/9/2020,1.1449,1.1292,1.1494,1.1284,1.44%
3/6/2020,1.1286,1.1238,1.1356,1.1212,0.40%
3/5/2020,1.1241,1.1136,1.1245,1.1119,0.94%
3/4/2020,1.1136,1.1172,1.1187,1.1094,-0.33%
3/3/2020,1.1173,1.1133,1.1214,1.1095,0.35%
3/2/2020,1.1134,1.1003,1.1186,1.1003,0.97%
2/28/2020,1.1027,1.1001,1.1054,1.095,0.24%
2/27/2020,1.1,1.0881,1.1006,1.0878,1.09%
2/26/2020,1.0881,1.0881,1.091,1.0855,0.00%
2/25/2020,1.0881,1.0854,1.0891,1.0829,0.25%
2/24/2020,1.0854,1.0841,1.0872,1.0805,0.08%
2/21/2020,1.0845,1.0785,1.0864,1.0783,0.56%
2/20/2020,1.0785,1.0806,1.0821,1.0776,-0.19%
2/19/2020,1.0806,1.0791,1.0812,1.0782,0.13%
2/18/2020,1.0792,1.0838,1.0839,1.0785,-0.40%
2/17/2020,1.0835,1.0832,1.0852,1.0821,0.03%
2/14/2020,1.0832,1.0841,1.0862,1.0827,-0.09%
2/13/2020,1.0841,1.0874,1.089,1.0833,-0.29%
2/12/2020,1.0873,1.0916,1.0927,1.0864,-0.39%
2/11/2020,1.0916,1.0911,1.0926,1.0891,0.05%
2/10/2020,1.0911,1.0951,1.0958,1.0907,-0.31%
2/7/2020,1.0945,1.0983,1.0986,1.0941,-0.32%
2/6/2020,1.098,1.0999,1.1014,1.0964,-0.17%
2/5/2020,1.0999,1.1044,1.1049,1.0993,-0.41%
2/4/2020,1.1044,1.1059,1.1065,1.1033,-0.14%
2/3/2020,1.106,1.1092,1.1096,1.1035,-0.31%
1/31/2020,1.1094,1.1032,1.1097,1.1016,0.56%
1/30/2020,1.1032,1.101,1.104,1.1006,0.19%
1/29/2020,1.1011,1.1022,1.1028,1.0991,-0.10%
1/28/2020,1.1022,1.1019,1.1026,1.0998,0.04%
